order_details_id,order_id,order_date,order_time,item_id,menu_item_id,item_name,category,price
1003,440,2023-01-08,12:16:34,116,116,"Steak Tacos",Mexican,13.95
1004,440,2023-01-08,12:16:34,103,103,"Hot Dog",American,9.00
1005,440,2023-01-08,12:16:34,124,124,Spaghetti,Italian,14.50
1006,440,2023-01-08,12:16:34,125,125,"Spaghetti & Meatballs",Italian,17.95
1007,440,2023-01-08,12:16:34,125,125,"Spaghetti & Meatballs",Italian,17.95
1008,440,2023-01-08,12:16:34,126,126,"Fettuccine Alfredo",Italian,14.50
1009,440,2023-01-08,12:16:34,126,126,"Fettuccine Alfredo",Italian,14.50
1010,440,2023-01-08,12:16:34,109,109,"Korean Beef Bowl",Asian,17.95
1011,440,2023-01-08,12:16:34,127,127,"Meat Lasagna",Italian,17.95
1012,440,2023-01-08,12:16:34,113,113,Edamame,Asian,5.00
1013,440,2023-01-08,12:16:34,122,122,"Chips & Salsa",Mexican,7.00
1014,440,2023-01-08,12:16:34,131,131,"Chicken Parmesan",Italian,17.95
1015,440,2023-01-08,12:16:34,106,106,"French Fries",American,7.00
1016,440,2023-01-08,12:16:34,132,132,"Eggplant Parmesan",Italian,16.95
